index,reason,detail
13,tsc,"probe-000013.ts(12,26): error TS2345: Argument of type 'Metric<MetricKeyType.Histogram, number, MetricState.Histogram>' is not assignable to parameter of type 'Metric<MetricKeyType.Histogram, Duration, MetricState.Histogram>'."
21,tsc,"probe-000021.ts(17,22): error TS2339: Property 'unit' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/effect/dist/dts/Effect"")'."
35,tsc,"probe-000035.ts(5,14): error TS2322: Type 'Effect<""cancelled"", unknown, unknown>' is not assignable to type 'Effect<string, never, never>'. probe-000035.ts(7,22): error TS2339: Property 'unit' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/effe"
37,tsc,"probe-000037.ts(17,26): error TS2345: Argument of type 'Metric<MetricKeyType.Histogram, number, MetricState.Histogram>' is not assignable to parameter of type 'Metric<MetricKeyType.Histogram, Duration, MetricState.Histogram>'."
39,tsc,"probe-000039.ts(12,26): error TS2345: Argument of type 'Metric<MetricKeyType.Histogram, number, MetricState.Histogram>' is not assignable to parameter of type 'Metric<MetricKeyType.Histogram, Duration, MetricState.Histogram>'."
