index,reason,detail
7,idiom:missing_fp_positive,
13,tsc,"probe-000013.ts(24,18): error TS2345: Argument of type '[Either<ReadonlyNonEmptyArray<string>, string>, Either<ReadonlyNonEmptyArray<string>, number>, Either<ReadonlyNonEmptyArray<string>, string>]' is not assignable to parameter of type 'Either<NonEmptyArray<string>, any>[] & { readonly 0: Either<N"
22,tsc,"probe-000022.ts(10,5): error TS2345: Argument of type 'Duration' is not assignable to parameter of type 'Equivalence<string>'."
23,tsc,"probe-000023.ts(26,10): error TS2769: No overload matches this call."
24,tsc,"probe-000024.ts(28,3): error TS2322: Type 'Effect<void, unknown, unknown>' is not assignable to type 'Effect<void, DecodeErr | UnknownType, never>'. probe-000024.ts(30,12): error TS2488: Type 'never' must have a '[Symbol.iterator]()' method that returns an iterator. probe-000024.ts(31,17): error TS2"
