index,reason,detail
17,tsc,"probe-000017.ts(20,22): error TS2322: Type '{ type: ""SerialIssued""; id: string; sku: string; }' is not assignable to type 'never'. probe-000017.ts(29,22): error TS2322: Type '{ type: ""issue""; id: string; sku: string; }' is not assignable to type 'never'."
18,tsc,"probe-000018.ts(17,22): error TS2322: Type '{ type: ""CrateLoaded""; id: string; weight: number; }' is not assignable to type 'never'. probe-000018.ts(27,22): error TS2322: Type '{ type: ""load""; id: string; weight: number; }' is not assignable to type 'never'."
