index,reason,detail
6,tsc,"probe-000006.ts(25,12): error TS2339: Property 'isNonEmpty' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/fp-ts/lib/ReadonlyNonEmptyArray"")'. probe-000006.ts(25,30): error TS2322: Type 'Either<FieldError[], Valid>' is not assignable to type 'E"
23,tsc,"probe-000023.ts(20,15): error TS2339: Property 'isNonEmpty' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/fp-ts/lib/ReadonlyNonEmptyArray"")'. probe-000023.ts(20,33): error TS2322: Type 'Either<Err[], In>' is not assignable to type 'Either<Errs"
31,tsc,"probe-000031.ts(20,15): error TS2339: Property 'isNonEmpty' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/fp-ts/lib/ReadonlyNonEmptyArray"")'. probe-000031.ts(20,33): error TS2322: Type 'Either<Err[], Form>' is not assignable to type 'Either<Er"
39,tsc,"probe-000039.ts(21,15): error TS2339: Property 'isNonEmpty' does not exist on type 'typeof import(""/home/zzhang/dev/ai/models/forge/v1/.verify-tmp/fp/node_modules/fp-ts/lib/ReadonlyNonEmptyArray"")'. probe-000039.ts(21,33): error TS2322: Type 'Either<Err[], F>' is not assignable to type 'Either<Errs,"
