index,reason,detail
2,tsc,"probe-000002.ts(1,1): error TS1434: Unexpected keyword or identifier. probe-000002.ts(1,3): error TS1434: Unexpected keyword or identifier. probe-000002.ts(1,11): error TS1228: A type predicate is only allowed in return type position for functions and methods. probe-000002.ts(1,14): error TS1434: Un"
7,length:short,0
11,tsc,"probe-000011.ts(1,1): error TS1434: Unexpected keyword or identifier. probe-000011.ts(1,11): error TS1434: Unexpected keyword or identifier. probe-000011.ts(1,21): error TS1434: Unexpected keyword or identifier. probe-000011.ts(1,31): error TS1434: Unexpected keyword or identifier. probe-000011.ts(1"
14,length:short,0
18,tsc,"probe-000018.ts(1,1): error TS1434: Unexpected keyword or identifier. probe-000018.ts(1,3): error TS1434: Unexpected keyword or identifier. probe-000018.ts(1,11): error TS1434: Unexpected keyword or identifier. probe-000018.ts(1,19): error TS1228: A type predicate is only allowed in return type posi"
21,length:short,0
23,length:short,0
27,length:short,147
