index,reason,detail
32,tsc,"probe-000032.ts(1,18): error TS2724: '""effect""' has no exported member named 'TestRandom'. Did you mean 'TRandom'? probe-000032.ts(3,14): error TS2322: Type 'Effect<number[], unknown, unknown>' is not assignable to type 'Effect<readonly number[], never, never>'."
33,tsc,"probe-000033.ts(1,18): error TS2724: '""effect""' has no exported member named 'TestRandom'. Did you mean 'TRandom'? probe-000033.ts(8,14): error TS2322: Type 'Effect<number[], unknown, unknown>' is not assignable to type 'Effect<readonly number[], never, never>'."
34,tsc,"probe-000034.ts(1,18): error TS2724: '""effect""' has no exported member named 'TestRandom'. Did you mean 'TRandom'? probe-000034.ts(5,14): error TS2322: Type 'Effect<number[], unknown, unknown>' is not assignable to type 'Effect<readonly number[], never, never>'."
35,tsc,"probe-000035.ts(1,18): error TS2724: '""effect""' has no exported member named 'TestRandom'. Did you mean 'TRandom'? probe-000035.ts(17,14): error TS2322: Type 'Effect<readonly string[], unknown, unknown>' is not assignable to type 'Effect<readonly string[], never, never>'."
36,tsc,"probe-000036.ts(1,18): error TS2724: '""effect""' has no exported member named 'TestRandom'. Did you mean 'TRandom'? probe-000036.ts(5,14): error TS2322: Type 'Effect<boolean[], unknown, unknown>' is not assignable to type 'Effect<readonly boolean[], never, never>'."
